# data from Gutjahr et al. 2017, Case where C-org burial increases during the recovery
Time_WRT_CIE,DIC,pH
-33.40,1.78E-03,7.73E+00
-33.30,1.78E-03,7.73E+00
-33.20,1.78E-03,7.73E+00
-33.10,1.78E-03,7.73E+00
-33.00,1.78E-03,7.73E+00
-32.90,1.78E-03,7.73E+00
-32.80,1.78E-03,7.73E+00
-32.70,1.78E-03,7.73E+00
-32.60,1.78E-03,7.73E+00
-32.50,1.78E-03,7.73E+00
-32.40,1.78E-03,7.73E+00
-32.30,1.78E-03,7.73E+00
-32.20,1.78E-03,7.73E+00
-32.10,1.78E-03,7.73E+00
-32.00,1.78E-03,7.73E+00
-31.90,1.78E-03,7.73E+00
-31.80,1.78E-03,7.73E+00
-31.70,1.78E-03,7.73E+00
-31.60,1.78E-03,7.73E+00
-31.50,1.78E-03,7.73E+00
-31.40,1.78E-03,7.73E+00
-31.30,1.78E-03,7.73E+00
-31.20,1.78E-03,7.73E+00
-31.10,1.78E-03,7.73E+00
-31.00,1.78E-03,7.73E+00
-30.90,1.78E-03,7.73E+00
-30.80,1.78E-03,7.73E+00
-30.70,1.78E-03,7.73E+00
-30.60,1.78E-03,7.73E+00
-30.50,1.78E-03,7.73E+00
-30.40,1.78E-03,7.73E+00
-30.30,1.78E-03,7.73E+00
-30.20,1.78E-03,7.73E+00
-30.10,1.78E-03,7.73E+00
-30.00,1.78E-03,7.73E+00
-29.90,1.78E-03,7.73E+00
-29.80,1.78E-03,7.73E+00
-29.70,1.78E-03,7.73E+00
-29.60,1.78E-03,7.73E+00
-29.50,1.78E-03,7.73E+00
-29.40,1.78E-03,7.73E+00
-29.30,1.78E-03,7.73E+00
-29.20,1.78E-03,7.73E+00
-29.10,1.78E-03,7.73E+00
-29.00,1.78E-03,7.73E+00
-28.90,1.78E-03,7.73E+00
-28.80,1.78E-03,7.73E+00
-28.70,1.78E-03,7.73E+00
-28.60,1.78E-03,7.73E+00
-28.50,1.78E-03,7.73E+00
-28.40,1.78E-03,7.73E+00
-28.30,1.78E-03,7.73E+00
-28.20,1.78E-03,7.73E+00
-28.10,1.78E-03,7.73E+00
-28.00,1.78E-03,7.73E+00
-27.90,1.78E-03,7.73E+00
-27.80,1.78E-03,7.73E+00
-27.70,1.78E-03,7.73E+00
-27.60,1.78E-03,7.73E+00
-27.50,1.78E-03,7.73E+00
-27.40,1.78E-03,7.73E+00
-27.30,1.78E-03,7.73E+00
-27.20,1.78E-03,7.73E+00
-27.10,1.78E-03,7.73E+00
-27.00,1.78E-03,7.73E+00
-26.90,1.78E-03,7.73E+00
-26.80,1.78E-03,7.73E+00
-26.70,1.78E-03,7.73E+00
-26.60,1.78E-03,7.73E+00
-26.50,1.78E-03,7.73E+00
-26.40,1.78E-03,7.73E+00
-26.30,1.78E-03,7.73E+00
-26.20,1.78E-03,7.73E+00
-26.10,1.78E-03,7.73E+00
-26.00,1.78E-03,7.73E+00
-25.90,1.78E-03,7.73E+00
-25.80,1.78E-03,7.73E+00
-25.70,1.78E-03,7.73E+00
-25.60,1.78E-03,7.73E+00
-25.50,1.78E-03,7.73E+00
